"Date","Issuance, Net","Issuance, Gross","Retirement, Gross","    Retirements, Repurchases","    Retirements, Mergers and Acquisitions"
"1996:Q4","  -8.88","  33.96","  42.84","  22.26","  20.58"
"1997:Q1"," -22.52","  25.85","  48.38","  22.64","  25.74"
"1997:Q2"," -27.20","  27.44","  54.64","  23.51","  31.12"
"1997:Q3"," -27.99","  31.47","  59.46","  25.01","  34.46"
"1997:Q4"," -28.98","  37.53","  66.50","  34.37","  32.14"
"1998:Q1"," -18.23","  40.44","  58.67","  26.64","  32.02"
"1998:Q2"," -28.94","  46.51","  75.45","  29.08","  46.36"
"1998:Q3"," -62.18","  33.78","  95.96","  41.10","  54.86"
"1998:Q4","-119.46","  44.49"," 163.95","  27.26"," 136.70"
"1999:Q1"," -14.05","  45.36","  59.41","  31.81","  27.60"
"1999:Q2"," -81.66","  73.75"," 155.41","  30.78"," 124.63"
"1999:Q3"," -25.03","  67.01","  92.04","  29.35","  62.68"
"1999:Q4","  11.23"," 107.36","  96.13","  35.97","  60.16"
"2000:Q1","  50.23"," 136.52","  86.30","  38.08","  48.22"
"2000:Q2"," -25.30"," 111.39"," 136.69","  22.85"," 113.84"
"2000:Q3","  13.70","  99.91","  86.21","  24.76","  61.45"
"2000:Q4"," -69.30","  86.48"," 155.78","  30.14"," 125.64"
"2001:Q1","  13.96","  73.36","  59.40","  25.24","  34.16"
"2001:Q2","  -4.38","  74.48","  78.86","  26.62","  52.25"
"2001:Q3"," -21.07","  46.10","  67.17","  27.69","  39.49"
"2001:Q4","   5.14","  61.60","  56.47","  24.03","  32.43"
"2002:Q1","  -2.63","  43.63","  46.25","  20.94","  25.31"
"2002:Q2","   6.29","  50.17","  43.88","  27.22","  16.66"
"2002:Q3"," -20.32","  29.32","  49.64","  27.31","  22.33"
"2002:Q4","   1.97","  35.55","  33.58","  18.89","  14.68"
"2003:Q1"," -10.25","  32.03","  42.28","  20.22","  22.06"
"2003:Q2","  -3.59","  35.94","  39.53","  22.00","  17.52"
"2003:Q3","  -0.12","  42.27","  42.39","  26.16","  16.23"
"2003:Q4","  -2.13","  48.58","  50.70","  34.34","  16.36"
"2004:Q1","   1.81","  57.95","  56.14","  31.58","  24.56"
"2004:Q2"," -15.06","  49.02","  64.08","  34.03","  30.05"
"2004:Q3"," -33.70","  43.93","  77.62","  42.37","  35.26"
"2004:Q4"," -36.13","  55.44","  91.57","  46.58","  44.99"
"2005:Q1"," -43.90","  48.53","  92.43","  52.99","  39.44"
"2005:Q2"," -51.79","  58.28"," 110.07","  63.20","  46.87"
"2005:Q3"," -74.06","  73.94"," 148.00","  66.61","  81.39"
"2005:Q4"," -82.61","  69.52"," 152.12","  90.79","  61.33"
"2006:Q1","-102.39","  76.49"," 178.88","  76.32"," 102.56"
"2006:Q2"," -93.76","  95.54"," 189.30","  99.09","  90.21"
"2006:Q3","-107.94","  63.90"," 171.84","  92.02","  79.82"
"2006:Q4","-115.36"," 117.13"," 232.49","  96.40"," 136.09"
"2007:Q1"," -96.63"," 100.39"," 197.03","  92.43"," 104.60"
"2007:Q2","-149.32","  98.30"," 247.63"," 120.99"," 126.64"
"2007:Q3","-126.03"," 114.66"," 240.69"," 121.59"," 119.11"
"2007:Q4","-164.30"," 173.79"," 338.09","  98.39"," 239.70"
"2008:Q1","-107.71","  65.51"," 173.23","  94.68","  78.54"
"2008:Q2"," -81.10","  54.67"," 135.77","  76.16","  59.61"
"2008:Q3","-103.81","  63.72"," 167.53","  80.94","  86.58"
"2008:Q4","-135.47","  34.56"," 170.03","  45.75"," 124.29"
"2009:Q1"," -66.77","  29.38","  96.15","  26.47","  69.69"
"2009:Q2","   6.39","  44.38","  38.00","  17.86","  20.13"
"2009:Q3","  -3.24","  38.41","  41.65","  24.90","  16.76"
"2009:Q4"," -73.11","  58.39"," 131.50","  33.60","  97.90"
"2010:Q1"," -43.04","  46.42","  89.46","  40.42","  49.04"
"2010:Q2"," -40.85","  50.49","  91.35","  59.71","  31.64"
"2010:Q3"," -72.53","  47.60"," 120.14","  57.28","  62.86"
"2010:Q4"," -52.49","  75.40"," 127.89","  62.91","  64.98"
"2011:Q1"," -53.62","  71.46"," 125.08","  66.92","  58.16"
"2011:Q2","-106.89","  64.76"," 171.66","  73.53","  98.13"
"2011:Q3","-134.63","  42.08"," 176.72","  96.41","  80.31"
"2011:Q4"," -82.91","  60.77"," 143.68","  74.56","  69.12"
"2012:Q1"," -56.85","  63.50"," 120.35","  64.68","  55.67"
"2012:Q2","-100.11","  69.89"," 170.01","  84.03","  85.98"
"2012:Q3"," -85.19","  57.43"," 142.62","  65.92","  76.69"
"2012:Q4"," -71.19","  79.39"," 150.58","  86.55","  64.03"
"2013:Q1"," -40.65","  71.52"," 112.17","  77.49","  34.67"
"2013:Q2"," -92.53","  68.87"," 161.39"," 100.52","  60.87"
"2013:Q3"," -92.28","  70.80"," 163.08","  96.53","  66.56"
"2013:Q4"," -91.88"," 108.10"," 199.98"," 105.80","  94.19"
"2014:Q1","-113.09","  79.96"," 193.05"," 126.21","  66.84"
"2014:Q2"," -54.75","  95.42"," 150.17"," 100.65","  49.53"
"2014:Q3"," -78.24","  99.02"," 177.26"," 108.19","  69.08"
"2014:Q4"," -89.85","  93.12"," 182.96"," 106.26","  76.70"
"2015:Q1","-137.19"," 109.95"," 247.14"," 113.98"," 133.16"
"2015:Q2","-117.39"," 110.04"," 227.43"," 101.09"," 126.34"
"2015:Q3","-147.37","  98.62"," 245.99"," 122.70"," 123.29"
"2015:Q4","-123.70","  79.33"," 203.03"," 107.65","  95.38"
"2016:Q1","-132.78"," 105.13"," 237.92"," 124.84"," 113.07"
"2016:Q2","-138.04"," 116.15"," 254.19","  99.97"," 154.22"
"2016:Q3","-118.59"," 139.16"," 257.75","  75.60"," 182.16"
"2016:Q4"," -88.64"," 101.31"," 189.94","  90.13","  99.81"
"2017:Q1","-101.12"," 112.24"," 213.36","  94.17"," 119.20"
"2017:Q2"," -70.55"," 101.70"," 172.25","  82.35","  89.90"
"2017:Q3","-125.90"," 104.54"," 230.44","  85.60"," 144.84"
"2017:Q4"," -77.01","  97.70"," 174.71","  88.78","  85.94"
"2018:Q1","-116.78"," 112.32"," 229.10"," 144.59","  84.51"
"2018:Q2","-227.35","  96.97"," 324.33"," 140.48"," 183.85"
"2018:Q3"," -62.76"," 118.93"," 181.69"," 136.15","  45.55"
"2018:Q4","-214.32"," 115.82"," 330.14"," 149.14"," 181.00"
"2019:Q1","-155.80"," 116.18"," 271.98"," 139.16"," 132.82"
"2019:Q2"," -17.86"," 149.70"," 167.56"," 109.38","  58.18"
"2019:Q3","-100.76"," 118.81"," 219.57"," 110.80"," 108.78"
"2019:Q4"," -85.95"," 137.97"," 223.92"," 120.47"," 103.45"
"2020:Q1"," -88.11"," 122.70"," 210.81"," 145.43","  65.38"
"2020:Q2","  -6.93"," 163.13"," 170.06","  80.02","  90.04"
"2020:Q3","  19.81"," 149.84"," 130.03","  90.39","  39.64"
"2020:Q4"," -20.59"," 202.91"," 223.50"," 112.05"," 111.45"
"2021:Q1","  45.28"," 241.78"," 196.51"," 130.35","  66.16"
"2021:Q2","  -6.33"," 255.24"," 261.57"," 143.10"," 118.47"
"2021:Q3"," -82.61"," 247.54"," 330.15"," 156.25"," 173.90"
"2021:Q4","-112.12"," 263.98"," 376.10"," 196.77"," 179.33"
"2022:Q1","-150.05"," 185.45"," 335.51"," 222.35"," 113.16"
"2022:Q2","-151.31"," 137.07"," 288.39"," 192.92","  95.47"
"2022:Q3","-156.89"," 139.69"," 296.58"," 179.53"," 117.05"
"2022:Q4","-168.08"," 177.01"," 345.09"," 180.94"," 164.15"
"2023:Q1"," -96.16"," 151.16"," 247.32"," 173.97","  73.34"
"2023:Q2","-101.24"," 119.34"," 220.58"," 144.36","  76.22"
"2023:Q3","-120.59"," 126.64"," 247.24"," 158.56","  88.68"
"2023:Q4","-290.01"," 114.86"," 404.86"," 181.57"," 223.29"
"2024:Q1","-158.58"," 137.44"," 296.03"," 187.62"," 108.40"
"2024:Q2","-121.62"," 122.60"," 244.21"," 184.18","  60.04"
"2024:Q3"," -93.80"," 155.78"," 249.59"," 172.34","  77.24"
"2024:Q4"," -22.07"," 245.66"," 267.73"," 184.00","  83.73"
"2025:Q1"," -88.47"," 224.48"," 312.95"," 221.37","  91.58"
"2025:Q2","-103.10"," 179.78"," 282.88"," 180.31"," 102.57"
"2025:Q3"," -58.00"," 255.17"," 313.18"," 176.11"," 137.07"
